DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,ACCU_DC_POWER,ACCU_AC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
15-05-2020 00:00,0,0,0,0,0,25.18431613,22.8575074,0
15-05-2020 00:15,0,0,0,0,0,25.08458867,22.76166787,0
15-05-2020 00:30,0,0,0,0,0,24.9357526,22.59230553,0
15-05-2020 00:45,0,0,0,0,0,24.8461304,22.36085213,0
15-05-2020 01:00,0,0,0,0,0,24.62152536,22.16542264,0
15-05-2020 01:15,0,0,0,0,0,24.5360922,21.96857087,0
15-05-2020 01:30,0,0,0,0,0,24.63867387,22.35292567,0
15-05-2020 01:45,0,0,0,0,0,24.87302233,23.1609192,0
15-05-2020 02:00,0,0,0,0,0,24.93693047,23.026113,0
15-05-2020 02:15,0,0,0,0,0,25.0122476,23.34322927,0
15-05-2020 02:30,0,0,0,0,0,25.00514933,23.63945927,0
15-05-2020 02:45,0,0,0,0,0,24.99301953,24.0394858,0
15-05-2020 03:00,0,0,0,0,0,25.01630943,24.38413557,0
15-05-2020 03:15,0,0,0,0,0,24.98521527,24.35150773,0
15-05-2020 03:30,0,0,0,0,0,24.93773193,24.06029653,0
15-05-2020 03:45,0,0,0,0,0,24.87909953,23.70979413,0
15-05-2020 04:00,0,0,0,0,0,24.6789022,22.58994153,0
15-05-2020 04:15,0,0,0,0,0,24.3519308,21.78364253,0
15-05-2020 04:30,0,0,0,0,0,24.0626222,21.85252493,0
15-05-2020 04:45,0,0,0,0,0,24.0132242,22.306315,0
15-05-2020 05:00,0,0,0,0,0,24.1771058,22.55190847,0
15-05-2020 05:15,0,0,0,0,0,24.304888,22.97949207,0
15-05-2020 05:30,0,0,0,0,0,24.32872727,23.45238047,0
15-05-2020 05:45,0,0,0,0,0,24.28921113,23.09669193,0.000862721
15-05-2020 06:00,942.1488095,90.92916667,0,942.1488095,90.92916667,24.08844607,22.2067566,0.005886957
15-05-2020 06:15,6142.10119,593.3386905,61.26190476,7084.25,684.2678571,24.01163527,22.35345867,0.022281607
15-05-2020 06:30,15271.15476,1480.194643,324.5297619,22355.40476,2164.4625,23.97673127,22.893282,0.049409724
15-05-2020 06:45,28626.58929,2790.448214,819.5059524,50981.99405,4954.910714,24.21899,24.44244393,0.095394454
15-05-2020 07:00,41345.91429,4052.662143,1717.75,92327.90834,9007.572857,24.5373984,27.18565287,0.141940443
15-05-2020 07:15,44564.20833,4368.722619,2751.97619,136892.1167,13376.29548,24.8159595,28.88847786,0.154712676
15-05-2020 07:30,43619.29167,4275.935119,3850.375,180511.4083,17652.2306,24.98878987,29.6056438,0.148799153
15-05-2020 07:45,44395.89286,4352.094643,4888.428572,224907.3012,22004.32524,25.21618033,29.54711093,0.144793419
15-05-2020 08:00,64834.80357,6365.608929,6160.821429,289742.1048,28369.93417,25.41951307,31.41254473,0.201638621
15-05-2020 08:15,101937.1571,10002.06464,8229.207143,391679.2619,38371.99881,25.95908213,35.5287108,0.345707653
15-05-2020 08:30,112129.5655,10995.60298,10969.9881,503808.8274,49367.60179,26.43078207,40.3180586,0.405348573
15-05-2020 08:45,92505.46429,9080.067857,13269.51786,596314.2917,58447.66964,26.8318298,39.08195373,0.312426795
15-05-2020 09:00,165598.8929,16211.35,16593.17857,761913.1845,74659.01964,27.6209698,45.0092326,0.623152649
15-05-2020 09:15,98826.01786,9692.832143,19980.98214,860739.2024,84351.85179,27.98836207,46.6177065,0.344884036
15-05-2020 09:30,76522.25,7511.4,21888.89286,937261.4524,91863.25179,27.51672787,39.136326,0.2492484
15-05-2020 09:45,161370.0357,15793.1125,24533.38095,1098631.488,107656.3643,27.45010767,40.93057693,0.541205977
15-05-2020 10:00,183026.2143,17896.79821,29346.73214,1281657.702,125553.1625,28.63219187,52.5477356,0.670675372
15-05-2020 10:15,158716.5536,15531.95,32973.53571,1440374.256,141085.1125,28.76891273,47.633738,0.572283477
15-05-2020 10:30,129103.6357,12648.59179,36823.175,1569477.892,153733.7043,29.3514426,49.24972327,0.455148383
15-05-2020 10:45,113123.1429,11091.62893,39799.29286,1682601.035,164825.3332,28.85470787,44.0483256,0.361961654
15-05-2020 11:00,193768.0357,18936.55928,43389.95357,1876369.07,183761.8925,29.41081933,47.6854534,0.636560881
15-05-2020 11:15,160301.2262,15683.71369,47752.7619,2036670.296,199445.6062,30.21606229,50.00698857,0.585787214
15-05-2020 11:30,155409.1607,15207.28393,51726.05357,2192079.457,214652.8901,30.2870728,49.8413636,0.557069383
15-05-2020 11:45,167668.1964,16401.58929,55271.10714,2359747.654,231054.4794,30.81104933,47.8363832,0.467986869
15-05-2020 12:00,155821.6964,15250.80833,59620.94643,2515569.35,246305.2877,31.30537507,49.18358353,0.514962587
15-05-2020 12:15,209569.3988,20477.01786,63932.30357,2725138.749,266782.3056,31.50729773,49.84449267,0.787866029
15-05-2020 12:30,197884.5,19341.70714,69163.07143,2923023.249,286124.0127,32.14768473,52.35325513,0.649247629
15-05-2020 12:45,209419.2381,20470.89762,73879.19643,3132442.487,306594.9104,32.3914204,50.63123993,0.761243312
15-05-2020 13:00,129842.3571,12721.87679,77961.32143,3262284.844,319316.7871,32.62279607,49.61076771,0.416035101
15-05-2020 13:15,149740.5536,14665.98571,81491.80357,3412025.398,333982.7729,32.49706447,47.01116133,0.489243946
15-05-2020 13:30,175573.4643,17185.65893,85448.92857,3587598.862,351168.4318,32.5246214,46.66986293,0.574561224
15-05-2020 13:45,170970.5893,16736.74286,89618.46429,3758569.451,367905.1746,32.67847087,47.51688413,0.560985624
15-05-2020 14:00,222438.7143,21747.06607,94351.83929,3981008.165,389652.2407,33.7631854,49.80390433,0.735083463
